,season,player_name,height (in),height (cm),pts,reb,ast,college,country,team
10165,2018-19,Jaylen Adams,74.0,187.96,3.2,1.8,1.9,St. Bonaventure,USA,ATL
9235,2016-17,Jaylen Brown,79.0,200.66,6.6,2.8,0.8,California,USA,BOS
9946,2017-18,Jaylen Brown,79.0,200.66,14.5,4.9,1.6,California,USA,BOS
10166,2018-19,Jaylen Brown,79.0,200.66,13.0,4.2,1.4,California,USA,BOS
10167,2018-19,Jaylen Morris,77.0,195.58,2.5,1.3,1.0,Molloy,USA,MIL
9944,2017-18,Jaylen Morris,77.0,195.58,4.7,2.7,1.2,Molloy,USA,ATL
9943,2017-18,Jayson Tatum,80.0,203.2,13.9,5.0,1.6,Duke,USA,BOS
10168,2018-19,Jayson Tatum,80.0,203.2,15.7,6.0,2.1,Duke,USA,BOS
9234,2016-17,Jeff Green,81.0,205.74,9.2,3.1,1.2,Georgetown,USA,ORL
9942,2017-18,Jeff Green,81.0,205.74,10.8,3.2,1.3,Georgetown,USA,CLE
10169,2018-19,Jeff Green,81.0,205.74,12.3,4.0,1.8,Georgetown,USA,WAS
9941,2017-18,Jeff Teague,74.0,187.96,14.2,3.0,7.0,Wake Forest,USA,MIN
9233,2016-17,Jeff Teague,74.0,187.96,15.3,4.0,7.8,Wake Forest,USA,IND
10170,2018-19,Jeff Teague,74.0,187.96,12.1,2.5,8.2,Wake Forest,USA,MIN
9940,2017-18,Jeff Withey,84.0,213.36,1.5,1.0,0.0,Kansas,USA,DAL
9232,2016-17,Jeff Withey,84.0,213.36,2.9,2.4,0.1,Kansas,USA,UTA
10163,2018-19,Jemerrio Jones,77.0,195.58,4.5,8.2,2.2,None,USA,LAL
10171,2018-19,Jerami Grant,81.0,205.74,13.6,5.2,1.0,Syracuse,USA,OKC
9231,2016-17,Jerami Grant,81.0,205.74,5.5,2.6,0.6,Syracuse,USA,OKC
9939,2017-18,Jerami Grant,81.0,205.74,8.4,3.9,0.7,Syracuse,USA,OKC
9938,2017-18,Jeremy Evans,81.0,205.74,2.0,1.0,0.0,Western Kentucky,USA,ATL
10172,2018-19,Jeremy Lamb,77.0,195.58,15.3,5.5,2.2,Connecticut,USA,CHA
9937,2017-18,Jeremy Lamb,77.0,195.58,12.9,4.1,2.3,Connecticut,USA,CHA
9230,2016-17,Jeremy Lamb,77.0,195.58,9.7,4.3,1.2,Connecticut,USA,CHA
9244,2016-17,Jeremy Lin,75.0,190.5,14.5,3.8,5.1,Harvard,USA,BKN
9945,2017-18,Jeremy Lin,75.0,190.5,18.0,0.0,4.0,Harvard,USA,BKN
10173,2018-19,Jeremy Lin,75.0,190.5,9.6,2.4,3.1,Harvard,USA,TOR
9261,2016-17,Jerian Grant,76.0,193.04,5.9,1.8,1.9,Notre Dame,USA,CHI
9936,2017-18,Jerian Grant,76.0,193.04,8.4,2.3,4.6,Notre Dame,USA,CHI
10174,2018-19,Jerian Grant,76.0,193.04,4.2,1.6,2.6,Notre Dame,USA,ORL
10175,2018-19,Jerome Robinson,77.0,195.58,3.4,1.2,0.6,Boston College,USA,LAC
9262,2016-17,Jerryd Bayless,75.0,190.5,11.0,4.0,4.3,Arizona,USA,PHI
9934,2017-18,Jerryd Bayless,75.0,190.5,7.9,2.1,1.4,Arizona,USA,PHI
10176,2018-19,Jerryd Bayless,75.0,190.5,6.1,1.8,3.5,Arizona,USA,MIN
10177,2018-19,Jevon Carter,74.0,187.96,4.4,1.7,1.8,West Virginia,USA,MEM
10178,2018-19,Jimmer Fredette,74.0,187.96,3.7,1.2,1.3,Brigham Young,USA,PHX
9263,2016-17,Jimmy Butler,79.0,200.66,23.9,6.2,5.5,Marquette,USA,CHI
9933,2017-18,Jimmy Butler,80.0,203.2,22.2,5.3,4.9,Marquette,USA,MIN
10179,2018-19,Jimmy Butler,80.0,203.2,18.7,5.3,4.0,Marquette,USA,PHI
10180,2018-19,Joakim Noah,83.0,210.82,7.1,5.7,2.1,Florida,USA,MEM
9281,2016-17,Joakim Noah,83.0,210.82,5.0,8.8,2.2,Florida,USA,NYK
9932,2017-18,Joakim Noah,83.0,210.82,1.7,2.0,0.6,Florida,USA,NYK
10181,2018-19,Jodie Meeks,76.0,193.04,6.4,1.5,1.0,Kentucky,USA,TOR
9282,2016-17,Jodie Meeks,76.0,193.04,9.1,2.1,1.3,Kentucky,USA,ORL
9931,2017-18,Jodie Meeks,76.0,193.04,6.3,1.6,0.9,Kentucky,USA,WAS
10182,2018-19,Joe Chealey,75.0,190.5,2.0,0.0,1.0,College of Charleston,USA,CHA
10183,2018-19,Joe Harris,78.0,198.12,13.7,3.8,2.4,Virginia,USA,BKN
9283,2016-17,Joe Harris,78.0,198.12,8.2,2.8,1.0,Virginia,USA,BKN
9930,2017-18,Joe Harris,78.0,198.12,10.8,3.3,1.6,Virginia,USA,BKN
9284,2016-17,Joe Ingles,80.0,203.2,7.1,3.2,2.7,None,Australia,UTA
10184,2018-19,Joe Ingles,80.0,203.2,12.1,4.0,5.7,None,Australia,UTA
9929,2017-18,Joe Ingles,80.0,203.2,11.5,4.2,4.8,None,Australia,UTA
9285,2016-17,Joe Johnson,79.0,200.66,9.2,3.1,1.8,Arkansas,USA,UTA
9928,2017-18,Joe Johnson,79.0,200.66,6.8,3.1,1.5,Arkansas,USA,HOU
9927,2017-18,Joe Young,74.0,187.96,3.9,1.2,0.7,Oregon,USA,IND
9286,2016-17,Joe Young,74.0,187.96,2.1,0.5,0.5,Oregon,USA,IND
9288,2016-17,Joel Anthony,81.0,205.74,1.3,1.6,0.2,Nevada-Las Vegas,Canada,SAS
9935,2017-18,Joel Bolomboy,81.0,205.74,1.5,1.7,0.0,Weber State,Ukraine,UTA
9295,2016-17,Joel Bolomboy,81.0,205.74,1.8,1.4,0.2,Weber State,Ukraine,UTA
9947,2017-18,Joel Embiid,84.0,213.36,22.9,11.0,3.2,Kansas,Cameroon,PHI
10185,2018-19,Joel Embiid,84.0,213.36,27.5,13.6,3.7,Kansas,Cameroon,PHI
9289,2016-17,Joel Embiid,84.0,213.36,20.2,7.8,2.1,Kansas,Cameroon,PHI
9957,2017-18,Joffrey Lauvergne,83.0,210.82,4.1,3.1,0.7,None,France,SAS
9290,2016-17,Joffrey Lauvergne,83.0,210.82,5.4,3.6,1.0,None,France,CHI
10186,2018-19,John Collins,82.0,208.28,19.5,9.8,2.0,Wake Forest,USA,ATL
9948,2017-18,John Collins,82.0,208.28,10.5,7.3,1.3,Wake Forest,USA,ATL
10187,2018-19,John Henson,83.0,210.82,5.6,5.1,1.0,North Carolina,USA,CLE
9966,2017-18,John Henson,83.0,210.82,8.8,6.8,1.5,North Carolina,USA,MIL
9291,2016-17,John Henson,83.0,210.82,6.8,5.1,1.0,North Carolina,USA,MIL
10188,2018-19,John Holland,77.0,195.58,0.0,0.0,0.0,Boston U.,USA,CLE
9965,2017-18,John Holland,77.0,195.58,2.3,1.0,0.2,Boston U.,USA,CLE
