,player_name,height (in),pts,reb,ast,college,country,team,Height Range
128,Dairis Bertans,76.0,2.8,0.8,0.8,None,Latvia,NOP,"6'4"" - 6'6"""
129,Dakari Johnson,84.0,1.8,1.1,0.3,Kentucky,USA,OKC,"6'10"" - 7'"
130,Damian Jones,84.0,3.0,2.1,0.43333333333333335,Vanderbilt,USA,GSW,"6'10"" - 7'"
131,Damian Lillard,75.0,26.566666666666666,4.666666666666667,6.466666666666666,Weber State,USA,POR,"6'1"" - 6'3"""
132,Damien Wilkins,78.0,1.7,0.8,0.5,Georgia,USA,IND,"6'4"" - 6'6"""
133,Damion Lee,78.0,7.8,3.35,1.15,Louisville,USA,ATL,"6'4"" - 6'6"""
134,Damjan Rudez,82.0,1.8,0.6,0.4,None,Croatia,ORL,"6'10"" - 7'"
135,Damyean Dotson,77.5,7.3999999999999995,2.75,1.25,Houston,USA,NYK,"6'4"" - 6'6"""
136,Daniel Hamilton,79.0,2.5,1.65,1.25,Connecticut,USA,OKC,"6'7"" - 6'9"""
137,Daniel Ochefu,83.0,1.3,1.2,0.2,Villanova,USA,WAS,"6'10"" - 7'"
138,Daniel Theis,80.5,5.5,3.8499999999999996,0.95,None,Germany,BOS,"6'7"" - 6'9"""
139,Danilo Gallinari,82.0,17.766666666666666,5.366666666666666,2.233333333333333,None,Italy,LAC,"6'10"" - 7'"
140,Danny Green,78.0,8.733333333333333,3.633333333333333,1.6666666666666667,North Carolina,USA,TOR,"6'4"" - 6'6"""
141,Dante Cunningham,80.0,5.1,3.733333333333333,0.7000000000000001,Villanova,USA,SAS,"6'7"" - 6'9"""
142,Dante Exum,78.0,7.066666666666666,1.8333333333333333,2.466666666666667,None,Australia,UTA,"6'4"" - 6'6"""
143,Danuel House,79.0,0.0,1.0,0.0,Texas A&M,USA,WAS,"6'7"" - 6'9"""
144,Danuel House Jr.,79.0,8.0,3.45,1.05,Texas A&M,USA,HOU,"6'7"" - 6'9"""
145,Dario Saric,82.0,12.666666666666666,6.2,2.1333333333333333,None,Croatia,PHI,"6'10"" - 7'"
146,Darius Miller,80.0,8.0,1.95,1.75,Kentucky,USA,NOP,"6'7"" - 6'9"""
147,Darrell Arthur,81.0,4.6,1.75,0.75,Kansas,USA,DEN,"6'7"" - 6'9"""
148,Darren Collison,72.66666666666667,12.266666666666666,2.6333333333333333,5.3,UCLA,USA,IND,"6'1"" - 6'3"""
149,Darrun Hilliard,78.0,2.2,0.65,0.8,Villanova,USA,SAS,"6'4"" - 6'6"""
150,Daryl Macon,75.0,3.6,1.5,0.9,Arkansas,USA,DAL,"6'1"" - 6'3"""
151,David Lee,81.0,7.3,5.6,1.6,Florida,USA,SAS,"6'7"" - 6'9"""
152,David Nwaba,76.0,6.8,3.7000000000000006,1.0999999999999999,None,USA,LAL,"6'4"" - 6'6"""
153,David Stockton,71.0,3.3,0.0,0.0,Gonzaga,USA,UTA,<= 6ft
154,David West,81.0,5.699999999999999,3.15,2.05,Xavier,USA,GSW,"6'7"" - 6'9"""
155,Davis Bertans,82.0,6.133333333333333,2.3333333333333335,1.0,None,Latvia,SAS,"6'10"" - 7'"
