,player_name,height (in),pts,reb,ast,college,country,team,2020-21 Salary ($),2020-21 Salary (Millions)
562,Nicolas Batum,80.0,12.0,5.3999999999999995,4.9,None,France,CHA,11608231.0,11.608231
571,Noah Vonleh,81.0,5.900000000000001,6.266666666666667,0.9666666666666667,Indiana,USA,NYK,263995.0,0.263995
572,Norman Powell,76.0,7.5,2.066666666666667,1.3,UCLA,USA,TOR,10865952.0,10.865952
574,OG Anunoby,80.0,6.45,2.7,0.7,Indiana,United Kingdom,TOR,3872215.0,3.872215
577,Omari Spellman,81.0,5.9,4.2,1.0,Villanova,USA,ATL,1988280.0,1.98828
581,P.J. Tucker,78.0,6.699999999999999,5.699999999999999,1.05,Texas,USA,HOU,7969537.0,7.969537
584,Pascal Siakam,81.0,9.466666666666667,4.933333333333334,1.8,New Mexico State,Cameroon,TOR,29000000.0,29.0
585,Pat Connaughton,76.66666666666667,4.933333333333334,2.5,1.2666666666666666,Notre Dame,USA,MIL,4938272.0,4.938272
587,Patrick Beverley,73.0,9.766666666666666,5.0,3.633333333333333,None,USA,LAC,13333333.0,13.333333
588,Patrick McCaw,79.0,3.533333333333333,1.5,1.1666666666666667,Nevada-Las Vegas,USA,GSW,4000000.0,4.0
589,Patrick Patterson,81.0,4.766666666666667,3.0666666666666664,0.7999999999999999,Kentucky,USA,OKC,3814768.0,3.814768
591,Patty Mills,72.0,9.799999999999999,1.9666666666666668,3.1,St. Mary's (CA),Australia,SAS,13285714.0,13.285714
593,Paul George,81.0,24.53333333333333,6.833333333333333,3.5666666666666664,Fresno State,USA,OKC,35450412.0,35.450412
594,Paul Millsap,80.0,15.100000000000001,7.1000000000000005,2.8333333333333335,Louisiana Tech,USA,DEN,10000000.0,10.0
600,Quinn Cook,74.0,7.333333333333333,1.7,2.066666666666667,Duke,USA,GSW,1797183.0,1.797183
603,Rajon Rondo,73.0,8.433333333333334,4.8,7.633333333333333,Kentucky,USA,CHI,7500000.0,7.5
608,Raul Neto,73.0,4.1000000000000005,1.2333333333333334,1.7333333333333334,None,Brazil,UTA,1882867.0,1.882867
612,Reggie Bullock,79.0,9.033333333333333,2.433333333333333,1.4666666666666668,North Carolina,USA,DET,4200000.0,4.2
614,Reggie Jackson,75.0,14.833333333333334,2.533333333333333,4.8999999999999995,Boston College,USA,DET,2331593.0,2.331593
617,Richaun Holmes,82.0,8.166666666666666,4.866666666666666,1.0666666666666667,Bowling Green,USA,PHX,5005350.0,5.00535
618,Ricky Rubio,76.0,12.299999999999999,4.1,6.833333333333333,None,Spain,UTA,17000000.0,17.0
619,Robert Covington,81.0,12.933333333333335,5.8,1.5999999999999999,Tennessee State,USA,MIN,12138345.0,12.138345
621,Robin Lopez,84.0,10.566666666666666,4.933333333333334,1.3666666666666665,Stanford,USA,CHI,7300000.0,7.3
622,Rodions Kurucs,81.0,8.5,3.9,0.8,None,Latvia,BKN,1780152.0,1.780152
623,Rodney Hood,80.0,12.866666666666665,2.8000000000000003,1.6666666666666667,Duke,USA,CLE,10047450.0,10.04745
624,Rodney McGruder,76.0,6.366666666666667,2.9,1.4000000000000001,Kansas State,USA,MIA,5000000.0,5.0
631,Royce O'Neale,78.0,5.1,3.45,1.45,Baylor,USA,UTA,8035714.0,8.035714
632,Rudy Gay,80.0,14.633333333333333,6.066666666666666,2.233333333333333,Connecticut,USA,SAC,14000000.0,14.0
633,Rudy Gobert,85.0,14.466666666666667,12.133333333333333,1.5333333333333332,None,France,UTA,26525281.0,26.525281
634,Russell Westbrook,75.0,26.633333333333336,10.633333333333333,10.466666666666667,UCLA,USA,OKC,41358814.0,41.358814
635,Ryan Anderson,82.0,8.466666666666667,3.9333333333333336,0.8666666666666667,California,USA,HOU,5214583.0,5.214583
636,Ryan Arcidiacono,75.0,4.35,1.85,2.4,Villanova,USA,CHI,3000000.0,3.0
646,Semi Ojeleye,79.0,3.0,1.85,0.35,Southern Methodist,USA,BOS,1752950.0,1.75295
647,Serge Ibaka,82.0,14.133333333333335,7.066666666666666,1.0,None,Democratic Republic of the Congo,TOR,9258000.0,9.258
649,Seth Curry,74.0,10.350000000000001,2.1,1.8,Duke,USA,DAL,7813953.0,7.813953
652,Shai Gilgeous-Alexander,78.0,10.8,2.8,3.3,Kentucky,Canada,LAC,4141320.0,4.14132
653,Shake Milton,78.0,4.4,1.8,0.9,Southern Methodist,USA,PHI,1701593.0,1.701593
655,Shaquille Harrison,76.0,6.55,2.85,2.15,Tulsa,USA,CHI,770433.0,0.770433
656,Shaun Livingston,79.0,4.866666666666666,1.8666666666666665,1.8666666666666665,None,USA,GSW,666667.0,0.666667
660,Sindarius Thornwell,77.0,2.45,1.2999999999999998,0.6,South Carolina,USA,LAC,747435.0,0.747435
662,Solomon Hill,79.0,4.566666666666666,3.266666666666667,1.6333333333333335,Arizona,USA,NOP,2174318.0,2.174318
663,Spencer Dinwiddie,78.0,12.233333333333333,2.7999999999999994,4.766666666666667,Colorado,USA,BKN,11454048.0,11.454048
665,Stanley Johnson,79.0,6.666666666666667,3.1666666666666665,1.4333333333333333,Arizona,USA,DET,3801000.0,3.801
666,Stephen Curry,75.0,26.333333333333332,4.966666666666666,5.966666666666666,Davidson,USA,GSW,43006362.0,43.006362
668,Sterling Brown,78.0,5.2,2.9000000000000004,0.95,Southern Methodist,USA,MIL,1678854.0,1.678854
670,Steven Adams,84.0,13.033333333333333,8.733333333333333,1.3,Pittsburgh,New Zealand,OKC,27528090.0,27.52809
672,T.J. McConnell,74.0,6.533333333333334,2.7999999999999994,4.666666666666667,Arizona,USA,PHI,3500000.0,3.5
673,T.J. Warren,80.0,18.8,4.55,1.4,North Carolina State,USA,PHX,11750000.0,11.75
677,Taj Gibson,81.0,11.266666666666666,6.6000000000000005,1.0999999999999999,USC,USA,MIN,3283684.0,3.283684
680,Taurean Prince,80.0,11.100000000000001,3.6666666666666665,1.866666666666667,Baylor,USA,ATL,13942308.0,13.942308
681,Terrance Ferguson,79.0,5.0,1.35,0.65,None,USA,OKC,3944013.0,3.944013
683,Terrence Ross,79.0,11.6,3.033333333333333,1.4666666666666668,Washington,USA,ORL,13500000.0,13.5
684,Terry Rozier,73.66666666666667,8.6,3.9000000000000004,2.533333333333333,Louisville,USA,BOS,18900000.0,18.9
686,Thaddeus Young,80.0,11.800000000000002,6.3,2.0,Georgia Tech,USA,IND,13545000.0,13.545
688,Thomas Bryant,82.5,6.0,3.7,0.8500000000000001,Indiana,USA,WAS,8333333.0,8.333333
691,Thon Maker,85.0,4.6000000000000005,2.733333333333333,0.5666666666666667,None,South Sudan,MIL,309355.0,0.309355
694,Tim Hardaway Jr.,78.0,16.7,3.3666666666666667,2.466666666666667,Michigan,USA,ATL,18975000.0,18.975
696,Timofey Mozgov,85.0,5.800000000000001,4.050000000000001,0.6000000000000001,None,Russia,LAL,5573333.0,5.573333
698,Tobias Harris,81.0,18.233333333333334,6.166666666666667,2.3,Tennessee,USA,PHI,33517241.0,33.517241
702,Tony Bradley,82.0,3.3000000000000003,3.1,0.2,North Carolina,USA,UTA,3542060.0,3.54206
704,Tony Snell,79.0,7.133333333333333,2.3666666666666667,1.1333333333333335, ,USA,MIL,12178571.0,12.178571
705,Torrey Craig,78.5,4.95,3.4,0.8,South Carolina Upstate,USA,DEN,1678854.0,1.678854
706,Trae Young,74.0,19.1,3.7,8.1,Oklahoma,USA,ATL,6571800.0,6.5718
710,Trevor Ariza,80.0,11.966666666666667,5.166666666666667,2.5,UCLA,USA,WAS,12800000.0,12.8
712,Trey Burke,73.0,9.566666666666668,1.5,3.0666666666666664,Michigan,USA,WAS,3174603.0,3.174603
713,Trey Lyles,82.0,8.200000000000001,3.9666666666666663,1.2,Kentucky,USA,UTA,5500000.0,5.5
715,Tristan Thompson,81.33333333333333,8.266666666666667,8.666666666666666,1.2,Texas,Canada,CLE,9258000.0,9.258
716,Troy Brown Jr.,79.0,4.8,2.8,1.5,Oregon,USA,WAS,3372840.0,3.37284
719,Troy Williams,79.0,5.933333333333334,2.6999999999999997,0.7000000000000001,Indiana,USA,SAC,122741.0,0.122741
725,Tyler Johnson,76.0,12.1,3.466666666666667,2.8000000000000003,Fresno State,USA,MIA,2028594.0,2.028594
732,Tyus Jones,74.0,5.166666666666667,1.5666666666666667,3.4,Duke,USA,MIN,7965100.0,7.9651
733,Udonis Haslem,80.0,1.6666666666666667,1.9000000000000001,0.3333333333333333,Florida,USA,MIA,2564753.0,2.564753
735,Victor Oladipo,76.0,19.26666666666667,5.033333333333334,4.033333333333333,Indiana,USA,IND,21000000.0,21.0
741,Wayne Ellington,76.66666666666667,10.666666666666666,2.3000000000000003,1.1666666666666667,North Carolina,USA,MIA,3005225.0,3.005225
744,Wendell Carter Jr.,82.0,10.3,7.0,1.8,Duke,USA,CHI,5448840.0,5.44884
747,Wesley Matthews,77.0,12.799999999999999,3.033333333333333,2.6333333333333333,Marquette,USA,IND,3623000.0,3.623
748,Will Barton,78.0,13.633333333333333,4.633333333333333,3.466666666666667,Memphis,USA,DEN,13920000.0,13.92
749,Willie Cauley-Stein,84.0,10.933333333333332,6.633333333333333,1.9666666666666668,Kentucky,USA,SAC,4000000.0,4.0
758,Yuta Watanabe,81.0,2.6,2.1,0.5,George Washington,Japan,MEM,321893.0,0.321893
759,Zach Collins,84.0,5.5,3.75,0.8500000000000001,Gonzaga,USA,POR,5406255.0,5.406255
760,Zach LaVine,77.0,19.766666666666666,4.0,3.5,UCLA,USA,MIN,19500000.0,19.5
764,Zhaire Smith,76.0,6.7,2.2,1.7,Texas Tech,USA,PHI,3204600.0,3.2046
