,player_name,height (in),pts,reb,ast,college,country,team,2020-21
305,Jalen Brunson,75.0,9.3,2.3,3.2,Villanova,USA,DAL,"$1,663,861 "
308,Jamal Murray,76.0,14.933333333333332,3.5,3.433333333333333,Kentucky,Canada,DEN,"$29,250,000 "
313,James Harden,77.0,31.866666666666664,6.7,9.166666666666666,Arizona State,USA,HOU,"$40,824,000 "
314,James Johnson,80.33333333333333,10.466666666666667,4.333333333333334,3.2999999999999994,Wake Forest,USA,MIA,"$16,047,100 "
321,Jared Dudley,79.0,4.966666666666668,2.6999999999999997,1.6333333333333335,Boston College,USA,BKN,"$2,564,753 "
326,Jaren Jackson Jr.,83.0,13.8,4.7,1.1,Michigan State,USA,MEM,"$7,257,360 "
329,Jarred Vanderbilt,81.0,1.4,1.4,0.2,Kentucky,USA,DEN,"$1,663,861 "
330,Jarrett Allen,83.0,9.55,6.9,1.0499999999999998,Texas,USA,BKN,"$3,909,902 "
337,Jaylen Brown,79.0,11.366666666666667,3.966666666666667,1.2666666666666668,California,USA,BOS,"$22,991,071 "
339,Jayson Tatum,80.0,14.8,5.5,1.85,Duke,USA,BOS,"$9,897,120 "
340,Jeff Green,81.0,10.766666666666666,3.4333333333333336,1.4333333333333333,Georgetown,USA,ORL,"$2,564,753 "
341,Jeff Teague,74.0,13.866666666666667,3.1666666666666665,7.666666666666667,Wake Forest,USA,MIN,"$3,372,826 "
345,Jerami Grant,81.0,9.166666666666666,3.9000000000000004,0.7666666666666666,Syracuse,USA,OKC,"$19,047,619 "
347,Jeremy Lamb,77.0,12.633333333333335,4.633333333333333,1.9000000000000001,Connecticut,USA,CHA,"$10,500,000 "
349,Jerian Grant,76.0,6.166666666666667,1.8999999999999997,3.033333333333333,Notre Dame,USA,CHI,"$1,882,867 "
350,Jerome Robinson,77.0,3.4,1.2,0.6,Boston College,USA,LAC,"$3,737,520 "
352,Jevon Carter,74.0,4.4,1.7,1.8,West Virginia,USA,MEM,"$3,549,383 "
354,Jimmy Butler,79.66666666666667,21.599999999999998,5.6000000000000005,4.8,Marquette,USA,CHI,"$34,379,100 "
355,Joakim Noah,83.0,4.6,5.5,1.6333333333333335,Florida,USA,MEM,"$6,431,666 "
358,Joe Harris,78.0,10.9,3.2999999999999994,1.6666666666666667,Virginia,USA,BKN,"$16,071,429 "
359,Joe Ingles,80.0,10.233333333333333,3.8000000000000003,4.3999999999999995,None,Australia,UTA,"$10,863,637 "
364,Joel Embiid,84.0,23.53333333333333,10.799999999999999,3.0,Kansas,Cameroon,PHI,"$29,542,010 "
366,John Collins,82.0,15.0,8.55,1.65,Wake Forest,USA,ATL,"$4,137,302 "
371,John Wall,76.0,21.066666666666666,3.8333333333333335,9.666666666666666,Kentucky,USA,WAS,"$41,254,920 "
375,Jon Leuer,82.0,6.466666666666666,3.9333333333333336,0.7999999999999999,Wisconsin,USA,DET,"$3,169,348 "
380,Jonathan Isaac,82.0,7.5,4.6,0.9,Florida State,USA,ORL,"$7,362,566 "
383,Jordan Clarkson,77.0,15.133333333333335,3.0,2.566666666666667,Missouri,USA,CLE,"$11,500,000 "
392,Josh Gray,73.0,6.4,2.0,2.4,None,USA,PHX,"$1,620,564 "
393,Josh Hart,77.0,7.85,3.95,1.35,Villanova,USA,LAL,"$3,491,159 "
395,Josh Jackson,80.0,12.3,4.5,1.9,Kansas,USA,PHX,"$4,767,000 "
398,Josh Okogie,76.0,7.7,2.9,1.2,Georgia Institute of Technology,Nigeria,MIN,"$2,651,040 "
399,Josh Richardson,78.0,13.233333333333334,3.4333333333333336,3.1999999999999997,Tennessee,USA,MIA,"$10,800,000 "
401,Jrue Holiday,76.0,18.533333333333335,4.466666666666667,7.0,UCLA,USA,NOP,"$26,131,111 "
404,Julius Randle,81.0,16.9,8.433333333333332,3.1,Kentucky,USA,LAL,"$18,900,000 "
406,Justin Anderson,78.0,5.666666666666667,2.5,0.6999999999999998,Virginia,USA,PHI,"$125,000 "
409,Justin Holiday,78.0,10.133333333333333,3.5333333333333337,1.7000000000000002,Washington,USA,CHI,"$5,720,400 "
410,Justin Jackson,80.0,6.95,2.7,1.15,North Carolina,USA,SAC,"$5,029,650 "
412,Justise Winslow,79.0,10.433333333333332,5.333333333333333,3.4,Duke,USA,MIA,"$13,000,000 "
417,Karl-Anthony Towns,84.0,23.600000000000005,12.333333333333334,2.8333333333333335,Kentucky,USA,MIN,"$29,430,000 "
418,Kawhi Leonard,79.0,22.766666666666666,5.933333333333334,3.033333333333333,San Diego State,USA,TOR,"$34,379,100 "
421,Kelly Olynyk,84.0,10.166666666666666,5.066666666666666,2.1666666666666665,Gonzaga,Canada,BOS,"$12,198,243 "
422,Kelly Oubre Jr.,79.0,11.1,4.166666666666667,1.0,Kansas,USA,WAS,"$14,375,000 "
423,Kemba Walker,73.0,23.633333333333336,3.8000000000000003,5.666666666666667,Connecticut,USA,CHA,"$34,379,100 "
426,Kenrich Williams,79.0,6.1,4.8,1.8,None,USA,NOP,"$2,000,000 "
427,Kent Bazemore,77.0,11.833333333333334,3.6333333333333333,2.733333333333333,Old Dominion,USA,ATL,"$2,320,044 "
428,Kentavious Caldwell-Pope,77.0,12.866666666666667,3.8000000000000003,2.0,Georgia,USA,LAL,"$12,073,020 "
429,Kevin Durant,81.0,25.833333333333332,7.166666666666667,5.366666666666667,Texas,USA,GSW,"$39,058,950 "
430,Kevin Huerter,79.0,9.7,3.3,2.9,Maryland,USA,ATL,"$2,761,920 "
432,Kevin Love,82.0,17.866666666666667,10.433333333333335,1.9333333333333336,UCLA,USA,CLE,"$31,300,000 "
434,Kevon Looney,81.0,4.266666666666667,3.6,0.8666666666666667,UCLA,USA,GSW,"$4,821,429 "
435,Khem Birch,81.0,4.5,4.05,0.8,UNLV,Canada,ORL,"$3,425,463 "
437,Khris Middleton,80.0,17.700000000000003,5.133333333333333,3.9000000000000004,Texas A&M,USA,MIL,"$33,051,724 "
