,player_name,height (in),pts,reb,ast,college,country,team,2020-21 Salary ($),2020-21 Salary (Millions),Salary Range
84,Dillon Brooks,78.0,9.25,2.4,1.25,Oregon,Canada,MEM,11400000.0,11.4,10M to 14.9M
85,Dion Waiters,76.0,14.033333333333333,2.833333333333333,3.6333333333333333,Syracuse,USA,MIA,12650000.0,12.65,10M to 14.9M
86,Domantas Sabonis,82.66666666666667,10.533333333333333,6.866666666666667,1.9666666666666668,Gonzaga,Lithuania,IND,17187500.0,17.1875,15M to 19.9M
87,Donovan Mitchell,75.0,22.15,3.9,3.95,Louisville,USA,UTA,5195501.0,5.195501,5M to 7.4M
88,Donte DiVincenzo,76.0,4.9,2.4,1.1,Villanova,USA,MIL,3044160.0,3.0441599999999998,2.5M to 4.9M
89,Dorian Finney-Smith,80.0,5.9,3.7000000000000006,1.0666666666666669,Florida,USA,DAL,4000000.0,4.0,2.5M to 4.9M
90,Doug McDermott,80.0,8.033333333333333,2.2,0.9333333333333332,Creighton,USA,DAL,7333333.0,7.3333330000000005,5M to 7.4M
91,Draymond Green,79.0,9.533333333333333,7.599999999999999,7.066666666666666,Michigan State,USA,GSW,22246956.0,22.246956,> 20M
92,Drew Eubanks,82.0,1.8,1.5,0.3,None,USA,SAS,1620564.0,1.620564,1M to 2.4M
93,Duncan Robinson,80.0,3.3,1.3,0.3,Michigan,USA,MIA,1663861.0,1.663861,1M to 2.4M
94,Dwayne Bacon,79.0,5.3,2.2,0.9,Florida State,USA,CHA,1678854.0,1.678854,1M to 2.4M
95,Dwight Howard,83.0,14.300000000000002,11.466666666666667,1.0333333333333334,None,USA,ATL,2564753.0,2.564753,2.5M to 4.9M
96,Dwight Powell,83.0,8.6,4.966666666666666,1.1,Stanford,Canada,DAL,10185185.0,10.185185,10M to 14.9M
97,E'Twaun Moore,76.0,11.333333333333336,2.466666666666667,2.1333333333333333,Purdue,USA,NOP,2331593.0,2.3315930000000002,1M to 2.4M
98,Ed Davis,82.0,5.133333333333333,7.099999999999999,0.6333333333333334,North Carolina,USA,POR,5005350.0,5.00535,5M to 7.4M
99,Edmond Sumner,77.5,2.45,1.0,0.2,Xavier,USA,IND,2160000.0,2.16,1M to 2.4M
100,Elfrid Payton,76.0,12.033333333333333,4.733333333333333,6.7666666666666675,Louisana-Lafayette,USA,NOP,5760000.0,5.76,5M to 7.4M
101,Enes Kanter,83.0,14.033333333333333,9.166666666666666,1.366666666666667, ,Turkey,POR,5005350.0,5.00535,5M to 7.4M
102,Eric Bledsoe,73.0,18.233333333333334,4.4,5.6000000000000005,Kentucky,USA,MIL,16875000.0,16.875,15M to 19.9M
103,Eric Gordon,76.0,16.8,2.466666666666667,2.2,Indiana,USA,HOU,16869276.0,16.869276,15M to 19.9M
104,Evan Fournier,79.0,16.7,3.1666666666666665,3.1666666666666665,None,France,ORL,17000000.0,17.0,15M to 19.9M
105,Frank Kaminsky,84.0,10.466666666666667,3.8666666666666663,1.7,Wisconsin,USA,CHA,1882867.0,1.8828669999999998,1M to 2.4M
106,Frank Ntilikina,77.5,5.800000000000002,2.15,3.0,None,France,NYK,6176578.0,6.176578,5M to 7.4M
107,Fred VanVleet,72.0,7.5,2.033333333333333,2.966666666666667,Wichita State,USA,TOR,21250000.0,21.25,> 20M
108,Furkan Korkmaz,79.0,3.7,1.5,0.7000000000000001,None,Turkey,PHI,1762796.0,1.7627959999999998,1M to 2.4M
109,Garrett Temple,78.0,8.0,2.6666666666666665,1.9666666666666668,Louisiana State,USA,SAC,4767000.0,4.7669999999999995,2.5M to 4.9M
110,Gary Clark,80.0,2.9,2.3,0.4,None,USA,HOU,2000000.0,2.0,1M to 2.4M
111,Gary Harris,76.0,15.1,2.833333333333333,2.6666666666666665,Michigan State,USA,DEN,19160714.0,19.160714000000002,15M to 19.9M
112,Gary Trent Jr.,78.0,2.7,0.7,0.3,None,USA,POR,1663861.0,1.663861,1M to 2.4M
113,George Hill,75.0,11.5,2.8666666666666667,3.1,None,USA,MIL,9590602.0,9.590602,7.5M to 9.9M
114,Georges Niang,79.33333333333333,1.9666666666666668,1.0666666666666669,0.3666666666666667,Iowa State,USA,UTA,1783557.0,1.783557,1M to 2.4M
115,Giannis Antetokounmpo,83.0,25.83333333333333,10.433333333333334,5.366666666666667,None,Greece,MIL,27528090.0,27.528090000000002,> 20M
116,Glenn Robinson III,78.33333333333333,4.8,2.2333333333333334,0.6,Michigan,USA,IND,930930.0,0.9309299999999999,< 1M
117,Gordon Hayward,80.0,11.8,3.633333333333333,2.3000000000000003,Butler,USA,BOS,28500000.0,28.5,> 20M
118,Gorgui Dieng,83.0,7.433333333333334,5.533333333333334,1.2333333333333334,Louisville,Senegal,MIN,17587688.0,17.587688,15M to 19.9M
119,Grayson Allen,77.0,5.6,0.6,0.7,Duke,USA,UTA,2545320.0,2.5453200000000002,2.5M to 4.9M
120,Guerschon Yabusele,80.0,2.35,1.4500000000000002,0.45,None,France,BOS,1039080.0,1.03908,1M to 2.4M
121,Hamidou Diallo,77.0,3.7,1.9,0.3,Kentucky,USA,OKC,1663861.0,1.663861,1M to 2.4M
122,Harrison Barnes,80.0,18.166666666666664,5.266666666666667,1.6666666666666667,North Carolina,USA,DAL,22215909.0,22.215909,> 20M
123,Hassan Whiteside,84.0,14.433333333333332,12.266666666666667,0.8333333333333334,Marshall,USA,MIA,2320044.0,2.3200439999999998,1M to 2.4M
124,Henry Ellenson,83.0,4.4,2.6,0.5666666666666668,Marquette,USA,NYK,50000.0,0.05,< 1M
125,Iman Shumpert,77.0,6.466666666666666,2.9333333333333336,1.4666666666666668,Georgia Tech,USA,HOU,447155.0,0.447155,< 1M
126,Isaac Bonga,80.0,0.9,1.1,0.7,None,Germany,LAL,1663861.0,1.663861,1M to 2.4M
127,Isaiah Hartenstein,84.0,1.9,1.7,0.5,None,Germany,HOU,1445697.0,1.445697,1M to 2.4M
128,Ish Smith,72.0,9.733333333333334,2.733333333333333,4.4,Wake Forest,USA,DET,6146341.0,6.1463410000000005,5M to 7.4M
129,Ivica Zubac,85.0,6.699999999999998,4.4,0.8333333333333334,None,Croatia,LAC,7000000.0,7.0,5M to 7.4M
130,J.J. Barea,72.0,11.133333333333333,2.6,5.8,Northeastern,Puerto Rico,DAL,2564753.0,2.564753,2.5M to 4.9M
131,JaKarr Sampson,81.0,12.35,5.75,0.7,"St. John's, N.Y.",USA,SAC,1882867.0,1.8828669999999998,1M to 2.4M
132,JaMychal Green,81.0,9.533333333333333,7.266666666666667,1.1,Alabama,USA,MEM,7199760.0,7.19976,5M to 7.4M
133,JaVale McGee,84.0,7.633333333333333,4.433333333333334,0.4666666666666666,Nevada-Reno,USA,GSW,4200000.0,4.2,2.5M to 4.9M
134,Jabari Parker,80.0,15.733333333333334,5.900000000000001,2.3666666666666667,Duke,USA,MIL,6916834.0,6.916834,5M to 7.4M
135,Jacob Evans,78.0,1.3,0.8,0.8,Cincinnati,USA,GSW,2017320.0,2.0173200000000002,1M to 2.4M
136,Jae Crowder,78.0,11.833333333333336,4.666666666666667,1.7000000000000002,Marquette,USA,UTA,9258000.0,9.258,7.5M to 9.9M
137,Jahlil Okafor,83.0,8.766666666666667,4.166666666666667,0.7666666666666666,Duke,USA,PHI,1882867.0,1.8828669999999998,1M to 2.4M
138,Jake Layman,81.0,3.6,1.4333333333333331,0.4333333333333333,Maryland,USA,POR,3761085.0,3.761085,2.5M to 4.9M
139,Jakob Poeltl,84.0,5.166666666666667,4.4,0.6999999999999998,Utah,Austria,SAS,8101852.0,8.101852000000001,7.5M to 9.9M
140,Jalen Brunson,75.0,9.3,2.3,3.2,Villanova,USA,DAL,1663861.0,1.663861,1M to 2.4M
141,Jamal Murray,76.0,14.933333333333332,3.5,3.433333333333333,Kentucky,Canada,DEN,29250000.0,29.25,> 20M
142,James Harden,77.0,31.866666666666664,6.7,9.166666666666666,Arizona State,USA,HOU,40824000.0,40.824,
143,James Johnson,80.33333333333333,10.466666666666667,4.333333333333334,3.2999999999999994,Wake Forest,USA,MIA,16047100.0,16.0471,15M to 19.9M
144,Jared Dudley,79.0,4.966666666666668,2.7,1.6333333333333335,Boston College,USA,BKN,2564753.0,2.564753,2.5M to 4.9M
145,Jaren Jackson Jr.,83.0,13.8,4.7,1.1,Michigan State,USA,MEM,7257360.0,7.25736,5M to 7.4M
146,Jarred Vanderbilt,81.0,1.4,1.4,0.2,Kentucky,USA,DEN,1663861.0,1.663861,1M to 2.4M
147,Jarrett Allen,83.0,9.55,6.9,1.0499999999999998,Texas,USA,BKN,3909902.0,3.9099019999999998,2.5M to 4.9M
148,Jaylen Brown,79.0,11.366666666666667,3.966666666666667,1.2666666666666668,California,USA,BOS,22991071.0,22.991070999999998,> 20M
149,Jayson Tatum,80.0,14.8,5.5,1.85,Duke,USA,BOS,9897120.0,9.89712,7.5M to 9.9M
150,Jeff Green,81.0,10.766666666666666,3.4333333333333336,1.4333333333333331,Georgetown,USA,ORL,2564753.0,2.564753,2.5M to 4.9M
151,Jeff Teague,74.0,13.866666666666667,3.1666666666666665,7.666666666666668,Wake Forest,USA,MIN,3372826.0,3.3728260000000003,2.5M to 4.9M
152,Jerami Grant,81.0,9.166666666666666,3.9,0.7666666666666666,Syracuse,USA,OKC,19047619.0,19.047619,15M to 19.9M
153,Jeremy Lamb,77.0,12.633333333333335,4.633333333333333,1.9,Connecticut,USA,CHA,10500000.0,10.5,10M to 14.9M
154,Jerian Grant,76.0,6.166666666666668,1.9,3.033333333333333,Notre Dame,USA,CHI,1882867.0,1.8828669999999998,1M to 2.4M
155,Jerome Robinson,77.0,3.4,1.2,0.6,Boston College,USA,LAC,3737520.0,3.7375199999999995,2.5M to 4.9M
156,Jevon Carter,74.0,4.4,1.7,1.8,West Virginia,USA,MEM,3549383.0,3.549383,2.5M to 4.9M
157,Jimmy Butler,79.66666666666667,21.6,5.6000000000000005,4.8,Marquette,USA,CHI,34379100.0,34.3791,
158,Joakim Noah,83.0,4.6,5.5,1.6333333333333335,Florida,USA,MEM,6431666.0,6.431666000000001,5M to 7.4M
159,Joe Harris,78.0,10.9,3.2999999999999994,1.6666666666666667,Virginia,USA,BKN,16071429.0,16.071429000000002,15M to 19.9M
160,Joe Ingles,80.0,10.233333333333333,3.8,4.4,None,Australia,UTA,10863637.0,10.863636999999999,10M to 14.9M
161,Joel Embiid,84.0,23.53333333333333,10.8,3.0,Kansas,Cameroon,PHI,29542010.0,29.542009999999998,> 20M
162,John Collins,82.0,15.0,8.55,1.65,Wake Forest,USA,ATL,4137302.0,4.137302,2.5M to 4.9M
163,John Wall,76.0,21.066666666666666,3.8333333333333335,9.666666666666666,Kentucky,USA,WAS,41254920.0,41.25492,
164,Jon Leuer,82.0,6.466666666666666,3.9333333333333336,0.7999999999999999,Wisconsin,USA,DET,3169348.0,3.169348,2.5M to 4.9M
165,Jonathan Isaac,82.0,7.5,4.6,0.9,Florida State,USA,ORL,7362566.0,7.362566,5M to 7.4M
166,Jordan Clarkson,77.0,15.133333333333335,3.0,2.566666666666667,Missouri,USA,CLE,11500000.0,11.5,10M to 14.9M
167,Josh Gray,73.0,6.4,2.0,2.4,None,USA,PHX,1620564.0,1.620564,1M to 2.4M
168,Josh Hart,77.0,7.85,3.95,1.35,Villanova,USA,LAL,3491159.0,3.4911589999999997,2.5M to 4.9M
169,Josh Jackson,80.0,12.3,4.5,1.9,Kansas,USA,PHX,4767000.0,4.7669999999999995,2.5M to 4.9M
170,Josh Okogie,76.0,7.7,2.9,1.2,Georgia Institute of Technology,Nigeria,MIN,2651040.0,2.65104,2.5M to 4.9M
171,Josh Richardson,78.0,13.233333333333334,3.4333333333333336,3.2,Tennessee,USA,MIA,10800000.0,10.8,10M to 14.9M
172,Jrue Holiday,76.0,18.53333333333333,4.466666666666667,7.0,UCLA,USA,NOP,26131111.0,26.131110999999997,> 20M
173,Julius Randle,81.0,16.9,8.433333333333332,3.1,Kentucky,USA,LAL,18900000.0,18.9,15M to 19.9M
174,Justin Anderson,78.0,5.666666666666668,2.5,0.6999999999999998,Virginia,USA,PHI,125000.0,0.125,< 1M
175,Justin Holiday,78.0,10.133333333333333,3.5333333333333337,1.7000000000000002,Washington,USA,CHI,5720400.0,5.7204,5M to 7.4M
176,Justin Jackson,80.0,6.95,2.7,1.15,North Carolina,USA,SAC,5029650.0,5.02965,5M to 7.4M
177,Justise Winslow,79.0,10.433333333333332,5.333333333333333,3.4,Duke,USA,MIA,13000000.0,13.0,10M to 14.9M
178,Karl-Anthony Towns,84.0,23.600000000000005,12.333333333333336,2.833333333333333,Kentucky,USA,MIN,29430000.0,29.43,> 20M
179,Kawhi Leonard,79.0,22.766666666666666,5.933333333333334,3.033333333333333,San Diego State,USA,TOR,34379100.0,34.3791,
180,Kelly Olynyk,84.0,10.166666666666666,5.066666666666666,2.1666666666666665,Gonzaga,Canada,BOS,12198243.0,12.198243,10M to 14.9M
181,Kelly Oubre Jr.,79.0,11.1,4.166666666666667,1.0,Kansas,USA,WAS,14375000.0,14.375,10M to 14.9M
182,Kemba Walker,73.0,23.633333333333336,3.8,5.666666666666668,Connecticut,USA,CHA,34379100.0,34.3791,
183,Kenrich Williams,79.0,6.1,4.8,1.8,None,USA,NOP,2000000.0,2.0,1M to 2.4M
