,season,player_name,height (in),pts,reb,ast,college,country,team
1475,2018-19,Tyler Zeller,84.0,7.7,4.0,0.7,North Carolina,USA,MEM
1476,2017-18,Tyler Zeller,84.0,6.7,4.6,0.7,North Carolina,USA,MIL
1477,2016-17,Tyreke Evans,78.0,10.3,3.4,3.1,Memphis,USA,SAC
1478,2017-18,Tyreke Evans,78.0,19.4,5.1,5.2,Memphis,USA,MEM
1479,2018-19,Tyreke Evans,78.0,10.2,2.9,2.4,Memphis,USA,IND
1480,2018-19,Tyrone Wallace,77.0,3.5,1.6,0.7,California,USA,LAC
1481,2017-18,Tyrone Wallace,77.0,9.7,3.5,2.4,California,USA,LAC
1482,2016-17,Tyson Chandler,85.0,8.4,11.5,0.6,None,USA,PHX
1483,2018-19,Tyson Chandler,85.0,3.1,5.6,0.7,None,USA,LAL
1484,2017-18,Tyson Chandler,85.0,6.5,9.1,1.2,None,USA,PHX
1485,2016-17,Tyus Jones,74.0,3.5,1.1,2.6,Duke,USA,MIN
1486,2018-19,Tyus Jones,74.0,6.9,2.0,4.8,Duke,USA,MIN
1487,2017-18,Tyus Jones,74.0,5.1,1.6,2.8,Duke,USA,MIN
1488,2017-18,Udonis Haslem,80.0,0.6,0.7,0.4,Florida,USA,MIA
1489,2016-17,Udonis Haslem,80.0,1.9,2.3,0.4,Florida,USA,MIA
1490,2018-19,Udonis Haslem,80.0,2.5,2.7,0.2,Florida,USA,MIA
1491,2017-18,Vander Blue,77.0,0.6,0.2,0.6,Marquette,USA,LAL
1492,2018-19,Victor Oladipo,76.0,18.8,5.6,5.2,Indiana,USA,IND
1493,2017-18,Victor Oladipo,76.0,23.1,5.2,4.3,Indiana,USA,IND
1494,2016-17,Victor Oladipo,76.0,15.9,4.3,2.6,Indiana,USA,OKC
1495,2018-19,Vince Carter,78.0,7.4,2.6,1.1,North Carolina,USA,ATL
1496,2016-17,Vince Carter,78.0,8.0,3.1,1.8,North Carolina,USA,MEM
1497,2017-18,Vince Carter,78.0,5.4,2.6,1.2,North Carolina,USA,SAC
1498,2018-19,Vincent Edwards,80.0,1.5,1.0,0.0,Purdue,USA,HOU
1499,2017-18,Vincent Hunter,80.0,1.5,0.8,0.0,Texas-El Paso,USA,MEM
1500,2017-18,Wade Baldwin IV,76.0,5.4,1.1,0.7,Vanderbilt,USA,POR
1501,2016-17,Wade Baldwin IV,76.0,3.2,1.4,1.8,Vanderbilt,USA,MEM
1502,2018-19,Wade Baldwin IV,76.0,1.9,0.9,0.8,Vanderbilt,USA,POR
1503,2018-19,Walt Lemon Jr.,75.0,14.3,4.5,5.0,None,USA,CHI
1504,2017-18,Walt Lemon Jr.,75.0,3.4,0.4,1.0,None,USA,NOP
1505,2016-17,Wayne Ellington,76.0,10.5,2.1,1.1,North Carolina,USA,MIA
1506,2017-18,Wayne Ellington,77.0,11.2,2.8,1.0,North Carolina,USA,MIA
1507,2018-19,Wayne Ellington,77.0,10.3,2.0,1.4,North Carolina,USA,DET
1508,2016-17,Wayne Selden,77.0,5.1,1.1,0.9,Kansas,USA,MEM
1509,2017-18,Wayne Selden,77.0,9.3,1.6,1.9,Kansas,USA,MEM
1510,2018-19,Wayne Selden,77.0,6.9,2.4,1.5,Kansas,USA,CHI
1511,2018-19,Wendell Carter Jr.,82.0,10.3,7.0,1.8,Duke,USA,CHI
1512,2018-19,Wes Iwundu,79.0,5.0,2.7,1.1,Kansas State,USA,ORL
1513,2017-18,Wes Iwundu,79.0,3.7,2.2,0.9,Kansas State,USA,ORL
1514,2017-18,Wesley Johnson,79.0,5.4,2.9,0.8,Syracuse,USA,LAC
1515,2016-17,Wesley Johnson,79.0,2.7,2.7,0.3,Syracuse,USA,LAC
1516,2018-19,Wesley Johnson,79.0,3.4,1.9,0.6,Syracuse,USA,WAS
1517,2018-19,Wesley Matthews,77.0,12.2,2.5,2.3,Marquette,USA,IND
1518,2016-17,Wesley Matthews,77.0,13.5,3.5,2.9,Marquette,USA,DAL
1519,2017-18,Wesley Matthews,77.0,12.7,3.1,2.7,Marquette,USA,DAL
1520,2017-18,Will Barton,78.0,15.7,5.0,4.1,Memphis,USA,DEN
1521,2018-19,Will Barton,78.0,11.5,4.6,2.9,Memphis,USA,DEN
1522,2016-17,Will Barton,78.0,13.7,4.3,3.4,Memphis,USA,DEN
1523,2016-17,Willie Cauley-Stein,84.0,8.1,4.5,1.1,Kentucky,USA,SAC
1524,2017-18,Willie Cauley-Stein,84.0,12.8,7.0,2.4,Kentucky,USA,SAC
1525,2018-19,Willie Cauley-Stein,84.0,11.9,8.4,2.4,Kentucky,USA,SAC
1526,2017-18,Willie Reed,83.0,4.6,2.9,0.2,St. Louis,USA,LAC
1527,2016-17,Willie Reed,83.0,5.3,4.7,0.4,Saint Louis,USA,MIA
1528,2018-19,Willy Hernangomez,83.0,7.3,5.4,1.0,None,Spain,CHA
1529,2017-18,Willy Hernangomez,83.0,5.1,3.8,0.7,None,Spain,CHA
1530,2016-17,Willy Hernangomez,83.0,8.2,7.0,1.3,None,Spain,NYK
1531,2016-17,Wilson Chandler,80.0,15.7,6.5,2.0,DePaul,USA,DEN
1532,2017-18,Wilson Chandler,81.0,10.0,5.4,2.1,DePaul,USA,DEN
1533,2018-19,Wilson Chandler,81.0,6.0,4.2,1.6,DePaul,USA,LAC
1534,2017-18,Xavier Munford,76.0,0.5,0.2,0.7,Rhode Island,USA,MIL
1535,2017-18,Xavier Rathan-Mayes,76.0,5.8,1.0,3.6,Florida State,Canada,NYK
1536,2017-18,Xavier Silas,77.0,0.0,1.0,0.0,Northern Illinois,USA,BOS
1537,2018-19,Yante Maten,80.0,1.0,1.5,0.0,None,USA,MIA
1538,2016-17,Yogi Ferrell,72.0,10.0,2.4,3.7,Indiana,USA,DAL
1539,2018-19,Yogi Ferrell,72.0,5.9,1.5,1.9,Indiana,USA,SAC
1540,2017-18,Yogi Ferrell,72.0,10.2,3.0,2.5,Indiana,USA,DAL
1541,2018-19,Yuta Watanabe,81.0,2.6,2.1,0.5,George Washington,Japan,MEM
1542,2018-19,Zach Collins,84.0,6.6,4.2,0.9,Gonzaga,USA,POR
1543,2017-18,Zach Collins,84.0,4.4,3.3,0.8,Gonzaga,USA,POR
1544,2016-17,Zach LaVine,77.0,18.9,3.4,3.0,UCLA,USA,MIN
1545,2017-18,Zach LaVine,77.0,16.7,3.9,3.0,UCLA,USA,CHI
1546,2018-19,Zach LaVine,77.0,23.7,4.7,4.5,UCLA,USA,CHI
1547,2018-19,Zach Lofton,76.0,0.0,0.0,0.0,New Mexico State,USA,DET
1548,2017-18,Zach Randolph,81.0,14.5,6.7,2.2,Michigan State,USA,SAC
1549,2016-17,Zach Randolph,81.0,14.1,8.2,1.7,Michigan State,USA,MEM
1550,2016-17,Zaza Pachulia,83.0,6.1,5.9,1.9,None,Georgia,GSW
1551,2017-18,Zaza Pachulia,83.0,5.4,4.7,1.6,None,Georgia,GSW
1552,2018-19,Zaza Pachulia,83.0,3.9,3.9,1.3,None,Georgia,DET
1553,2018-19,Zhaire Smith,76.0,6.7,2.2,1.7,Texas Tech,USA,PHI
1554,2017-18,Zhou Qi,85.0,1.2,1.2,0.1,None,China,HOU
1555,2018-19,Zhou Qi,85.0,2.0,0.0,0.0,None,China,HOU
